1.1.1.4. Egyes termékek és szolgáltatások éves fogyasztói átlagára (nyers adatok) [Ft];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kódszám;Termék, szolgáltatás;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
10001;Rövidkaraj, kg;582;589;721;775;638;817;1 080;948;831;955;1 000;1 100;1 090;1 210;1 290;1 210;1 250;1 380;1 430;1 440;1 400;1 390;1 470;1 470;1 580;1 790;1 700;2 140;2 580;2 610
10003;Sertéshús, comb (csont és csülök nélkül), kg ;559;568;697;745;606;776;1 030;897;773;878;920;1 000;979;1 090;1 160;1 110;1 150;1 280;1 350;1 350;1 300;1 110;1 220;1 210;1 340;1 530;1 440;1 510;1 710;1 940
10103;Marhahús, rostélyos, csontos vagy csont nélküli, kg ;478;508;536;607;629;670;781;846;890;959;1 030;1 130;1 230;1 280;1 390;1 440;1 540;1 740;1 790;1 800;1 810;1 840;1 910;1 960;2 050;2 260;2 470;3 570;4 500;4 660
10401;Bontott csirke, kg;288;346;424;448;426;443;501;479;462;505;521;538;626;706;735;729;742;781;805;812;791;779;659;678;684;718;764;1 140;1 360;1 360
10405;Csirkecomb, kg;350;420;508;521;487;517;602;547;511;546;544;547;647;720;754;744;753;792;823;817;796;759;626;631;631;659;710;1 100;1 310;1 210
10407;Csirkeszárny, kg;237;280;356;397;383;406;478;449;417;451;454;453;519;590;627;621;630;673;698;695;673;645;545;577;587;626;691;1 000;1 190;1 150
10408;Pulykamellfilé, kg;..;..;..;947;955;1 070;1 230;1 150;1 170;1 290;1 240;1 250;1 450;1 590;1 540;1 540;1 670;1 790;1 800;1 810;1 870;1 940;1 700;1 710;1 780;1 900;1 900;2 430;3 210;2 840
10409;Csirkemellfilé (csont és bõr nélkül), kg;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1 400;1 480;1 520;1 510;1 480;1 480;1 290;1 410;1 420;1 430;1 530;1 680;1 830;2 080
10501;Szárazkolbász, kg ;928;1 030;1 190;1 440;1 440;1 610;2 040;2 160;2 040;2 130;2 240;2 390;2 720;2 980;3 280;3 360;3 370;3 530;3 160;3 150;3 150;3 140;3 270;3 380;3 570;4 010;4 090;4 960;5 990;5 710
10502;Téliszalámi, kg;1 440;1 610;1 930;2 260;2 340;2 500;3 030;3 340;3 340;3 500;3 740;4 040;4 550;4 770;4 980;5 090;5 270;5 920;7 200;7 080;6 910;6 840;7 160;7 410;7 860;9 130;9 000;10 370;12 440;10 820
10506;Pulykamell sonka, szeletelt, kg;777;906;1 050;1 170;1 180;1 250;1 470;1 530;1 500;1 650;1 690;1 760;1 950;2 170;2 380;2 380;2 410;2 520;2 620;2 580;2 600;2 590;2 660;2 770;2 940;3 120;3 100;4 050;5 350;5 320
10507;Gépsonka, kg;844;904;1 060;1 250;1 200;1 260;1 590;1 590;1 460;1 480;1 490;1 520;1 660;1 720;1 870;1 920;1 940;2 060;2 210;2 160;2 090;2 070;2 150;2 230;2 350;2 770;2 920;..;..;..
10601;Párizsi felvágott, kg ;330;334;378;440;406;445;562;597;592;640;682;729;825;890;995;1 030;1 080;1 200;1 260;1 280;1 290;1 300;1 360;1 440;1 570;1 900;1 910;2 320;2 830;2 690
10602;Virsli, sertés vagy baromfi, kg;413;414;464;522;471;502;629;631;623;646;684;738;816;884;976;1 010;1 460;1 640;1 640;1 570;1 620;1 630;1 630;1 670;1 770;2 070;2 110;2 640;3 230;3 080
10603;Olasz felvágott, kg ;448;468;552;662;612;642;820;821;798;830;862;898;965;1 050;1 150;1 180;1 210;1 340;1 390;1 360;1 380;1 350;1 460;1 550;1 690;2 030;2 070;2 590;3 190;3 120
10801;Pontyszelet vagy filé, kg;289;357;574;644;620;582;621;703;745;769;776;772;802;850;923;964;975;1 010;1 040;1 060;1 090;1 110;1 930;2 030;2 180;2 270;2 430;3 180;4 160;4 320
11001;Tojás, 10 darab ;101;129;158;157;141;192;209;197;190;212;203;225;264;296;315;318;310;420;379;365;384;374;389;428;401;431;461;678;793;690
11101;Pasztõrözött ESL tej, 2,8 %, liter  ;55;64;80;91;98;115;141;155;160;159;156;168;187;219;201;201;226;231;234;249;230;217;216;250;243;263;270;390;501;456
11103;Pasztõrözött ESL tej, 1,5 %, liter;53;64;83;95;102;117;144;156;161;158;151;161;181;211;195;191;212;218;222;232;214;203;205;234;223;243;249;365;464;430
11104;UHT tartós tej dobozban, 2,8% zsírtartalom, liter;75;88;116;129;131;144;176;190;200;194;188;201;229;259;246;250;261;262;255;266;249;239;258;261;245;258;268;284;305;380
11209;Sajt, trappista, tömb, kg ;572;654;833;896;975;1 150;1 280;1 310;1 330;1 460;1 190;1 230;1 380;1 560;1 270;1 400;1 540;1 570;1 690;1 800;1 580;1 500;1 680;1 700;1 760;1 890;2 010;3 330;3 450;3 100
11301;Tejföl, 20% zsírtartalom, kg;39;43;52;58;61;68;77;80;81;85;87;92;107;126;119;124;132;128;126;135;130;128;141;154;163;171;177;280;2 190;1 930
11306;Gyümölcsjoghurt, 125–150 g-os, db;35;44;54;63;67;68;73;75;71;66;66;67;72;79;80;79;85;90;89;93;96;99;109;122;129;133;146;181;218;204
11311;Tejföl 12% zsírtartalommal, 325–450 g-os, db;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;240;226;246;265;279;293;306;454;594;525
12001;Vaj, legalább 80% zsírtartalom, 100 g-os csomagolásban, db;44;52;67;83;90;101;122;127;128;143;143;156;177;206;193;202;232;243;250;267;247;239;282;320;340;342;345;548;666;602
12101;Sertészsír, 400–500 g (kivéve mangalica);169;178;216;293;210;219;327;338;254;310;405;380;369;440;564;534;554;410;428;387;353;331;358;389;383;448;463;707;958;778
12201;Csemegeszalonna, füstölt (elõre csomagolt is), kg;315;374;427;558;524;538;719;786;756;278;860;885;932;1 010;1 150;1 170;1 190;1 330;1 410;1 470;1 470;1 460;1 480;1 530;1 620;1 900;1 970;2 450;3 090;3 180
12301;Napraforgó-étolaj, liter;158;195;219;249;274;242;250;291;284;278;257;267;306;494;420;405;490;495;496;431;453;484;489;488;486;517;675;736;734;684
